DATE,Open,High,Low,Close,ADJCLOSE,VOLUME
20110602,1314.550049,1318.030029,1305.609985,1312.939941,1312.939941,3762170000
20110603,1312.939941,1312.939941,1297.900024,1300.160034,1300.160034,3505030000
20110606,1300.260010,1300.260010,1284.719971,1286.170044,1286.170044,3555980000
20110607,1286.310059,1296.219971,1284.739990,1284.939941,1284.939941,3846250000
20110608,1284.630005,1287.040039,1277.420044,1279.560059,1279.560059,3970810000
20110609,1279.630005,1294.540039,1279.630005,1289.000000,1289.000000,3332510000
20110610,1288.599976,1288.599976,1268.280029,1270.979980,1270.979980,3846250000
20110613,1271.310059,1277.040039,1265.640015,1271.829956,1271.829956,4132520000
20110614,1272.219971,1292.500000,1272.219971,1287.869995,1287.869995,3500280000
20110615,1287.869995,1287.869995,1261.900024,1265.420044,1265.420044,4070500000
20110616,1265.530029,1274.109985,1258.069946,1267.640015,1267.640015,3846250000
20110617,1268.579956,1279.819946,1267.400024,1271.500000,1271.500000,4916460000
20110620,1271.500000,1280.420044,1267.560059,1278.359985,1278.359985,3464660000
20110621,1278.400024,1297.619995,1278.400024,1295.520020,1295.520020,4056150000
20110622,1295.479980,1298.609985,1286.790039,1287.140015,1287.140015,3718420000
20110623,1286.599976,1286.599976,1262.869995,1283.500000,1283.500000,4983450000
20110624,1283.040039,1283.930054,1267.239990,1268.449951,1268.449951,3665340000
20110627,1268.439941,1284.910034,1267.530029,1280.099976,1280.099976,3479070000
20110628,1280.209961,1296.800049,1280.209961,1296.670044,1296.670044,3681500000
20110629,1296.849976,1309.209961,1296.849976,1307.410034,1307.410034,4347540000
20110630,1307.640015,1321.969971,1307.640015,1320.640015,1320.640015,4200500000
20110701,1320.640015,1341.010010,1318.180054,1339.670044,1339.670044,3796930000
20110705,1339.589966,1340.890015,1334.300049,1337.880005,1337.880005,3722320000
20110706,1337.560059,1340.939941,1330.920044,1339.219971,1339.219971,3564190000
20110707,1339.619995,1356.479980,1339.619995,1353.219971,1353.219971,4069530000
20110708,1352.390015,1352.390015,1333.709961,1343.800049,1343.800049,3594360000
20110711,1343.310059,1343.310059,1316.420044,1319.489990,1319.489990,3879130000
20110712,1319.609985,1327.170044,1313.329956,1313.640015,1313.640015,4227890000
20110713,1314.449951,1331.479980,1314.449951,1317.719971,1317.719971,4060080000
20110714,1317.739990,1326.880005,1306.510010,1308.869995,1308.869995,4358570000
20110715,1308.869995,1317.699951,1307.520020,1316.140015,1316.140015,4242760000
20110718,1315.939941,1315.939941,1295.920044,1305.439941,1305.439941,4118160000
20110719,1307.069946,1328.140015,1307.069946,1326.729980,1326.729980,4304600000
20110720,1328.660034,1330.430054,1323.650024,1325.839966,1325.839966,3767420000
20110721,1325.650024,1347.000000,1325.650024,1343.800049,1343.800049,4837430000
20110722,1343.800049,1346.099976,1336.949951,1345.020020,1345.020020,3522830000
20110725,1344.319946,1344.319946,1331.089966,1337.430054,1337.430054,3536890000
20110726,1337.390015,1338.510010,1329.589966,1331.939941,1331.939941,4007050000
20110727,1331.910034,1331.910034,1303.489990,1304.890015,1304.890015,3479040000
20110728,1304.839966,1316.319946,1299.160034,1300.670044,1300.670044,4951800000
20110729,1300.119995,1304.160034,1282.859985,1292.280029,1292.280029,5061190000
20110801,1292.589966,1307.380005,1274.729980,1286.939941,1286.939941,4967390000
20110802,1286.560059,1286.560059,1254.030029,1254.050049,1254.050049,5206290000
20110803,1254.250000,1261.199951,1234.560059,1260.339966,1260.339966,6446940000
20110804,1260.229980,1260.229980,1199.540039,1200.069946,1200.069946,4266530000
20110805,1200.280029,1218.109985,1168.089966,1199.380005,1199.380005,5454590000
20110808,1198.479980,1198.479980,1119.280029,1119.459961,1119.459961,2615150000
20110809,1120.229980,1172.880005,1101.540039,1172.530029,1172.530029,2366660000
20110810,1171.770020,1171.770020,1118.010010,1120.760010,1120.760010,5018070000
20110811,1121.300049,1186.290039,1121.300049,1172.640015,1172.640015,3685050000
20110812,1172.869995,1189.040039,1170.739990,1178.810059,1178.810059,5640380000
20110815,1178.859985,1204.489990,1178.859985,1204.489990,1204.489990,4272850000
20110816,1204.219971,1204.219971,1180.530029,1192.760010,1192.760010,5071600000
20110817,1192.890015,1208.469971,1184.359985,1193.890015,1193.890015,4388340000
20110818,1189.619995,1189.619995,1131.030029,1140.650024,1140.650024,3234810000
20110819,1140.469971,1154.540039,1122.050049,1123.530029,1123.530029,5167560000
20110822,1123.550049,1145.489990,1121.089966,1123.819946,1123.819946,5436260000
20110823,1124.359985,1162.349976,1124.359985,1162.349976,1162.349976,5013170000
20110824,1162.160034,1178.560059,1156.300049,1177.599976,1177.599976,5315310000
